"","NAME","NAMELSAD","COUSUB","ACSFirstYr","ACSPop2000","ACSPop2010Left","ACSPop2010Right","ACSPop2018","ACSAnnRate","ACS2000AnnRate","ACS2005AnnRate","ACS2010AnnRate","ACS2015AnnRate","ACSGrowth"
"1","Auburn","Auburn city",2060,2000,23193,23038,23055,23196,0.000718563735802036,0.225770813301818,-0.358980104239148,-0.101703081650317,0.373526747894992,0.0129349372655543
"2","Baldwin","Baldwin town",2655,2000,1295,1524,1524,1608,1.20993045625075,1.86001016806974,1.42367073528125,0.762559258973305,0.523679427570412,24.1698841698842
"3","Bath","Bath city",3355,2000,9250,8498,8490,8329,-0.580973288220465,-0.515558954334761,-1.17203912996944,-0.420482402272238,0.0641154252992715,-9.95675675675676
"4","Bethel","Bethel town",4825,2000,2424,2603,2599,2717,0.635954000446115,1.0898457990735,0.341543311200199,0.313533721980397,0.962920305911941,12.0874587458746
"5","Bridgton","Bridgton town",7170,2000,4890,5206,5214,5368,0.519472918123109,0.808893435765001,0.447750051432494,0.568864924440771,0.024850895655204,9.77505112474438
"6","Brunswick","Brunswick town",8430,2000,21184,20263,20255,20481,-0.187316302792506,-0.190490210302452,-0.695887872158607,0.379240473500109,-0.260666607706683,-3.31854229607251
"7","Buxton","Buxton town",9410,2000,7488,8037,8037,8310,0.580332272663786,1.29101860330807,0.132414394975222,0.267323931379781,0.670751757831423,10.9775641025641
"8","Cape Elizabeth","Cape Elizabeth town",10180,2000,9048,9008,9005,9313,0.160503862708694,0.079449252802033,-0.167889963776913,0.555699593509629,0.197636074162322,2.9288240495137
"9","Casco","Casco town",11125,2000,3485,3739,3738,3902,0.629870940764476,0.863023476740432,0.549184839350314,0.675665826495231,0.309439826818148,11.9655667144907
"10","Chebeague Island","Chebeague Island town",12300,2000,356,341,340,351,-0.0785497301245552,-0.339374346397037,-0.519658622563068,0.638844076440148,0,-1.40449438202247
"11","Cumberland","Cumberland town",15430,2000,6808,7205,7201,8165,1.01488389431184,0.709599146701456,0.427353988366885,1.26993019120882,2.1065514054845,19.9324324324324
"12","Denmark","Denmark town",17250,2000,1004,1146,1147,1146,0.737627148139475,1.7503897098776,0.914622441445223,-0.174979200157421,0.263159108099553,14.1434262948207
"13","Durham","Durham town",19105,2000,3400,3845,3852,3967,0.860541048230501,1.66150976112922,0.815412249654734,0.278814737689204,0.517880022578532,16.6764705882353
